model,polarity,label_name,precision,recall,f1_score,support
Multinomial Naive Bayes,-2,very_negative,0.0,0.0,0.0,37
Logistic Regression,-2,very_negative,0.3333333333333333,0.02702702702702703,0.05,37
Linear SVM,-2,very_negative,0.35714285714285715,0.13513513513513514,0.19607843137254902,37
SGD Classifier,-2,very_negative,0.2222222222222222,0.05405405405405406,0.08695652173913043,37
Multinomial Naive Bayes,-1,negative,0.0,0.0,0.0,275
Logistic Regression,-1,negative,0.35570469798657717,0.5781818181818181,0.4404432132963989,275
Linear SVM,-1,negative,0.4188679245283019,0.4036363636363636,0.4111111111111111,275
SGD Classifier,-1,negative,0.4076655052264808,0.4254545454545455,0.41637010676156583,275
Multinomial Naive Bayes,0,neutral,0.5981104651162791,0.8296370967741935,0.6951013513513513,992
Logistic Regression,0,neutral,0.6537785588752196,0.75,0.6985915492957746,992
Linear SVM,0,neutral,0.6784688995215311,0.7147177419354839,0.6961217476681394,992
SGD Classifier,0,neutral,0.6778846153846154,0.7106854838709677,0.6938976377952756,992
Multinomial Naive Bayes,1,positive,0.46370235934664245,0.6127098321342925,0.5278925619834711,834
Logistic Regression,1,positive,0.6568627450980392,0.3213429256594724,0.43156199677938806,834
Linear SVM,1,positive,0.5526315789473685,0.5035971223021583,0.5269761606022585,834
SGD Classifier,1,positive,0.5565912117177098,0.5011990407673861,0.5274447949526814,834
Multinomial Naive Bayes,2,very_positive,0.7872340425531915,0.23076923076923078,0.35691318327974275,481
Logistic Regression,2,very_positive,0.5971107544141252,0.7733887733887734,0.6739130434782609,481
Linear SVM,2,very_positive,0.6299065420560748,0.7006237006237006,0.6633858267716536,481
SGD Classifier,2,very_positive,0.6353383458646616,0.7027027027027027,0.667324777887463,481
